response,0
public_commercial_code_repo,1516
institutional,341
software_specific_website,267
public_noncommercial_package_repo,131
publisher,108
public_noncommercial_archive_repo,91
preprint_site,71
project or consortium,59
documentation_site,43
discipline_software_repo,30
commercial website,21
conference site,17
international_institutional,14
personal website,14
Non-responsive,12
software_paper,11
web app,11
unknown,10
institutional_group,5
"forum, mailinglist, blog",4
video,4
Data platform,4
discipline-specific (non-software repo),3
commercial appstore,3
UK Govt Public site,3
search site,2
public openscience repo,1
UK Govt Software Link,1
Non-software website,1
